symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
AMAT,Information Technology,592.92,2.2149820503296707,66.19,129.64,95,"[95, 95, 95, 96, 95]",False,18,-5,down
CAT,Industrials,955.92,1.4449241857491462,39.07,63.0,94,"[93, 93, 93, 94, 94]",False,19,3,up
VRT,Industrials,317.58,1.4292452929811783,18.01,97.76,94,"[94, 94, 94, 95, 94]",False,20,-3,down
KLAC,Information Technology,238.73,1.517392282875564,58.14,95.64,94,"[95, 95, 95, 94, 94]",False,21,-1,down
CMI,Industrials,717.78,1.0745922915711539,33.28,40.41,93,"[91, 91, 91, 93, 93]",False,22,2,up
WBD,Communication Services,26.24,1.2418587891119692,-5.03,-9.2,93,"[94, 94, 94, 94, 93]",False,23,-2,down
MRNA,Health Care,61.8,1.192431976921791,18.01,106.76,93,"[86, 86, 86, 90, 93]",False,24,9,up
ON,Information Technology,112.92,0.9200959262367019,90.45,106.96,92,"[92, 92, 93, 93, 92]",False,25,-2,down
GEV,Industrials,1048.86,0.9048541762693008,19.6,53.13,92,"[87, 87, 89, 90, 92]",False,26,9,up
KEYS,Information Technology,350.7,0.9493199749121555,20.84,71.18,92,"[91, 91, 92, 93, 92]",False,27,-2,down
GOOGL,Communication Services,363.79,0.8642986973605966,18.52,18.82,91,"[90, 90, 90, 92, 91]",False,28,-1,down
GNRC,Industrials,268.2,0.8960725397430807,33.53,72.63,91,"[89, 89, 91, 92, 91]",False,29,0,stable
MPWR,Information Technology,1448.21,0.8642808426668229,32.8,52.79,91,"[93, 93, 93, 93, 91]",False,30,-4,down
GOOG,Communication Services,362.1,0.8465782396856261,18.51,17.82,90,"[90, 90, 89, 91, 90]",False,31,-1,down
NUE,Materials,252.6,0.7916241387036966,56.51,56.74,90,"[93, 93, 93, 92, 90]",False,32,-4,down
STLD,Materials,270.13,0.8636250604810742,61.71,60.68,90,"[92, 92, 92, 91, 90]",False,33,-2,down
IVZ,Financials,28.79,0.7837036381287414,24.47,12.37,89,"[89, 89, 90, 91, 89]",False,34,-2,down
CHRW,Industrials,185.2,0.7733697470487098,6.31,17.25,89,"[90, 90, 91, 90, 89]",False,35,1,up
PWR,Industrials,714.85,0.7445972257326647,23.71,63.1,89,"[88, 88, 89, 89, 89]",False,36,2,up
VTRS,Health Care,15.73,0.62366577506895,17.37,39.45,88,"[87, 87, 88, 88, 88]",False,37,3,up
