symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
STARHEALTH,Financial Services,584.0,0.40684083507735425,11.1,37.35,76,"[73, 69, 74, 76, 76]",False,64,2,up
AUROPHARMA,Healthcare,1549.2,0.40796451373443765,11.49,37.13,76,"[78, 78, 76, 74, 76]",False,65,6,up
HINDALCO,Metals & Mining,936.4,0.4036629083955652,-9.32,-2.14,75,"[80, 76, 76, 75, 75]",False,66,2,up
ADANIGREEN,Power,1377.8,0.40062921275922325,12.28,72.42,75,"[84, 82, 75, 76, 75]",False,67,0,stable
SCI,Services,278.9,0.4058723977116734,-8.4,33.93,75,"[74, 70, 69, 78, 75]",False,68,-8,down
TORNTPHARM,Healthcare,4898.3,0.39219610945158156,17.27,23.62,74,"[82, 81, 81, 76, 74]",False,69,-4,down
NEULANDLAB,Healthcare,18871.0,0.39076742463313874,26.01,47.75,74,"[74, 72, 73, 73, 74]",False,70,4,up
OFSS,Information Technology,11334.0,0.3920178324029979,19.87,45.62,74,"[77, 69, 62, 70, 74]",False,71,11,up
INDIANB,Financial Services,834.25,0.3877185411759012,0.02,-2.81,73,"[76, 74, 68, 71, 73]",False,72,8,up
ZYDUSWELL,Fast Moving Consumer Goods,549.45,0.38300920360444435,8.26,30.99,73,"[80, 77, 71, 73, 73]",False,73,0,stable
VTL,Textiles,612.5,0.37649278655762,0.08,49.34,72,"[65, 70, 65, 74, 72]",False,74,-2,down
NESTLEIND,Fast Moving Consumer Goods,1491.8,0.3802332701761739,2.77,15.63,72,"[56, 62, 64, 67, 72]",True,75,16,up
EMCURE,Healthcare,1892.2,0.3799410115690207,12.62,27.46,72,"[81, 73, 71, 73, 72]",False,76,-1,down
PHOENIXLTD,Realty,2023.2,0.371267148311732,14.63,17.19,71,"[79, 77, 78, 71, 71]",False,77,2,up
MINDACORP,Automobile and Auto Components,683.6,0.372134687367923,31.44,26.04,71,"[71, 68, 70, 72, 71]",False,78,-1,down
LLOYDSME,Metals & Mining,1979.1,0.3748548150111517,12.24,79.91,71,"[66, 61, 65, 72, 71]",False,79,-1,down
SAIL,Metals & Mining,165.85,0.36529981513016496,-10.17,6.61,70,"[67, 70]",True,80,10,up
POLYCAB,Capital Goods,9121.5,0.36855175288463116,13.0,35.45,70,"[66, 71, 70, 69, 70]",False,81,3,up
ABB,Capital Goods,7243.5,0.3422264252825089,0.19,54.5,69,"[69, 71, 68, 69, 69]",False,82,4,up
ABDL,Fast Moving Consumer Goods,620.3,0.3386246287737589,17.65,39.44,69,"[72, 67, 72, 68, 69]",False,83,5,up
SAMMAANCAP,Financial Services,163.27,0.340008879591569,12.9,17.66,69,"[57, 59, 62, 69, 69]",False,84,1,up
NLCINDIA,Power,299.05,0.32973030892551924,-5.54,23.96,68,"[70, 60, 60, 66, 68]",False,85,7,up
UNIONBANK,Financial Services,168.24,0.32619752533145685,4.38,-1.14,68,"[71, 65, 63, 68, 68]",False,86,1,up
ADANIPORTS,Services,1774.7,0.32337024561664474,7.54,30.67,68,"[68, 66, 64, 66, 68]",False,87,7,up
FLUOROCHEM,Chemicals,4487.5,0.31860052632013036,24.58,48.98,67,"[68, 67, 67, 68, 67]",False,88,1,up
SBIN,Financial Services,1013.2,0.3221200981649768,-3.46,-2.06,67,"[68, 66, 66, 66, 67]",False,89,4,up
CGPOWER,Capital Goods,844.1,0.31198625112379297,3.78,59.42,66,"[75, 73, 66, 70, 66]",False,90,-9,down
MARICO,Fast Moving Consumer Goods,883.25,0.3054544778685091,13.97,18.43,66,"[59, 59, 61, 63, 66]",False,91,11,up
HEG,Capital Goods,651.05,0.30440310520349856,9.84,20.1,66,"[49, 47, 61, 65, 66]",False,92,4,up
CAPLIPOINT,Healthcare,2588.3,0.2941637447077943,51.75,50.52,65,"[64, 57, 56, 65, 65]",False,93,2,up
NUVAMA,Financial Services,1808.8,0.30219925487551325,37.66,44.33,65,"[66, 62, 68, 70, 65]",False,94,-11,down
CGCL,Financial Services,228.22,0.3032295740454727,22.58,34.46,65,"[76, 73, 66, 72, 65]",False,95,-19,down
HEROMOTOCO,Automobile and Auto Components,5154.3,0.2707672276607711,2.57,-0.89,64,"[62, 64]",True,96,9,up
SOLARINDS,Chemicals,18244.0,0.29000380011008,18.24,43.0,64,"[67, 64, 64, 65, 64]",False,97,0,stable
INDUSINDBK,Financial Services,991.95,0.2669532784880919,8.46,11.04,63,"[63, 65, 55, 64, 63]",False,98,1,up
CREDITACC,Financial Services,1576.6,0.2659928723715914,21.27,19.39,63,"[56, 52, 45, 64, 63]",False,99,-1,down
KEI,Capital Goods,4843.0,0.2686796920251089,-0.3,27.42,63,"[65, 63, 63, 63, 63]",False,100,0,stable
LUPIN,Healthcare,2395.8,0.2590776507310195,4.68,12.21,62,"[73, 66, 62, 62, 62]",False,101,2,up
AJANTPHARM,Healthcare,3342.4,0.2496379860510205,18.41,23.87,62,"[69, 65, 60, 62, 62]",False,102,2,up
NMDC,Metals & Mining,83.92,0.26275105994567927,-7.14,9.68,62,"[61, 58, 58, 61, 62]",False,103,4,up
JSWSTEEL,Metals & Mining,1246.9,0.24713780923097595,-0.83,2.62,61,"[62, 63, 59, 59, 61]",False,104,9,up
PTCIL,Capital Goods,17874.0,0.2455079020760358,11.24,2.95,61,"[62, 60, 60, 60, 61]",False,105,4,up
GRAPHITE,Capital Goods,648.55,0.24351008908896987,-7.27,4.41,60,"[59, 63, 60]",False,106,-5,down
APOLLOHOSP,Healthcare,8903.0,0.2415618524574379,16.58,31.23,60,"[63, 63, 58, 57, 60]",False,107,11,up
IDFCFIRSTB,Financial Services,85.75,0.24071000218529415,23.13,2.69,60,"[46, 46, 44, 55, 60]",False,108,15,up
ACMESOLAR,Power,355.5,0.23703326957264093,17.38,71.72,59,"[70, 69, 70, 61, 59]",False,109,-1,down
MRPL,Oil Gas & Consumable Fuels,160.03,0.238956487792233,-4.49,4.51,59,"[69, 61, 50, 61, 59]",False,110,-4,down
IPCALAB,Healthcare,1789.0,0.23635726125800294,16.86,22.96,58,"[62, 61, 50, 56, 58]",False,111,10,up
